"TOA5","MarMenorIP","CR1000X","25703","CR1000X.Std.06.00","CPU:MarMenor5.CR1X","12374","OutputDaily"
"TIMESTAMP","RECORD","Air_Temp_HS_Avg","Air_Temp_HS_Max","Air_Temp_HS_Min","RelHumidity_Avg","Vapor_Pressure_Avg","WS_ms_Avg","WS_ms_Std","WS_ms_Max","WS_ms_TMx","WS3_Avg","ThermTemp1_Avg","WTemp_C1_Avg","SDI_Temp_1m_Avg","ThermTemp2_Avg","ThermTemp3_Avg","ThermTemp4_Avg","WTemp_C2_Avg","SDI_Temp_3m_Avg","ThermTemp5_Avg","ThermTemp6_Avg","SDI_Temp_6m_Avg","WTemp_C3_Avg","O2_sat1_Avg","O2_sat1_Min","O2_sat1_Max","O2_sat1_Std","O2_sat2_Avg","O2_sat2_Min","O2_sat2_Max","O2_sat2_Std","O2_sat3_Avg","O2_sat3_Min","O2_sat3_Max","O2_sat3_Std","O2_conc1_Avg","O2_conc1_Min","O2_conc1_Max","O2_conc1_Std","O2_conc2_Avg","O2_conc2_Min","O2_conc2_Max","O2_conc2_Std","O2_conc3_Avg","O2_conc3_Min","O2_conc3_Max","O2_conc3_Std","SDI_Cond_1m_Avg","SDI_Cond_3m_Avg","SDI_Cond_6m_Avg","SDI_TempCorrCond_1m_Avg","SDI_TempCorrCond_3m_Avg","SDI_TempCorrCond_6m_Avg","Mean_Chl_ugl_Avg","StdDev_Chl_ugl_Avg","CV_Chl_ugl_Avg","Mean_Turb_NTU_Avg","StdDev_Turb_NTU_Avg","CV_Turb_NTU_Avg"
"TS","RN","Deg C","Deg C","Deg C","Percent","kPa","meters/second","meters/second","meters/second","meters/second","(meters/second)3","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Percent","Percent","Percent","Percent","Percent","Percent","Percent","Percent","Percent","Percent","Percent","Percent","mg/l","mg/l","mg/l","mg/l","mg/l","mg/l","mg/l","mg/l","mg/l","mg/l","mg/l","mg/l","uS/cm","uS/cm","uS/cm","uS/cm 25C","uS/cm 25C","uS/cm 25C","ug/l","ug/l","ug/l","NTU","NTU","NTU"
"","","Avg","Max","Min","Avg","Avg","Avg","Std","Max","TMx","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Min","Max","Std","Avg","Min","Max","Std","Avg","Min","Max","Std","Avg","Min","Max","Std","Avg","Min","Max","Std","Avg","Min","Max","Std","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-09-23 00:00:00",0,26.55408,27.05611,26.10591,62.15322,2.157304,0,0,0,"2022-09-22 16:47:00",0,25.47496,25.32143,24.67138,25.56407,25.54465,25.55358,25.44877,24.69223,25.61393,25.67686,24.62656,25.36524,68.62948,66.70112,69.80408,0.7411734,53.82065,50.66026,56.88058,1.723011,70.85107,69.51333,71.96903,0.6817471,5.63741,5.477664,5.736865,0.06149735,4.410696,4.150191,4.662076,0.1421959,5.815231,5.704713,5.911188,0.05744685,65442.09,63885.19,65946.56,65219.39,63647.78,65777.17,0.7600567,0.02789842,3.598982,7.567823,0.0823829,1.066818
"2022-09-30 00:00:00",1,20.8856,156.2098,-200.5674,46.43341,1.376933,2.006,1.189,6.075,"2022-09-29 22:10:30",16.48118,24.15695,22.59546,21.95676,23.95344,24.23179,24.16498,22.68257,21.96112,24.16673,24.22918,21.94745,22.59424,101.738,-6.470617,119.9698,21.48289,99.96809,-50.77672,118.8369,27.80048,101.9721,-29.92998,122.1705,26.39574,8.552385,-1.64981,10.05358,1.86186,8.225861,-12.4192,9.959483,3.334689,8.429145,-7.359974,10.23242,2.953034,61726.64,61423.32,61404.35,59002.7,58704.02,58710.39,1.800852,0.4351457,6.940402,-0.007442877,1.707288,-2.170458
"2022-10-01 00:00:00",2,20.12112,22.4298,17.17826,57.66735,1.355536,2.63,1.517,6.775,"2022-09-30 10:29:00",35.71278,23.33818,23.15422,23.06181,23.39082,23.40167,23.34934,23.18041,23.08538,23.36653,23.46238,23.085,23.21034,103.5656,87.30512,123.9792,11.07161,103.3168,86.86382,123.3084,10.67864,104.588,86.35263,126.9708,11.88594,8.853502,7.535226,10.51894,0.9054731,8.828197,7.49429,10.46817,0.8737777,8.931363,7.445982,10.77412,0.9759703,61802.59,61353.8,61437.63,64293.75,63793.79,63886.7,0.612269,0.03005036,4.94736,1.637033,0.08561306,5.245884
"2022-10-02 00:00:00",3,20.12975,22.95858,15.5413,64.23506,1.510307,1.667,1.089,5.175,"2022-10-01 16:21:00",11.3462,23.17383,22.99452,22.87858,23.22939,23.23717,23.18314,23.01496,22.88123,23.19933,23.29452,22.90988,23.04945,102.5173,80.72417,133.9615,14.34135,101.2474,80.52016,132.4051,13.21498,102.2275,79.92239,137.3093,14.34117,8.784608,7.026927,11.32469,1.153257,8.673429,7.005263,11.18927,1.059976,8.751174,6.947521,11.59409,1.156709,61611.29,61176.92,61331.63,64341.59,63883.44,64008.45,0.6183236,0.03493863,5.662417,1.560394,0.08271294,5.301452
"2022-10-03 00:00:00",4,21.12446,23.22032,17.83862,69.96325,1.761196,2.623,0.803,5.85,"2022-10-02 16:19:30",23.23176,23.17624,23.00164,22.91268,23.23765,23.24097,23.19046,23.03265,22.92274,23.20807,23.30215,22.88835,23.18333,110.0905,83.11516,136.0971,15.30584,108.5622,82.2289,132.5549,14.14608,111.0097,81.95699,138.1978,16.16791,9.431549,7.239175,11.52383,1.229489,9.29616,7.163068,11.22749,1.133034,9.475086,7.130583,11.64606,1.283302,61719.14,61324.23,61404.07,64410.88,63982.11,64116.7,0.6100103,0.0342071,5.62601,1.443058,0.08534668,5.910554
"2022-10-04 00:00:00",5,22.4679,24.04636,20.78929,79.29282,2.164879,2.596,1.049,5.7,"2022-10-03 12:52:00",25.85583,23.5395,23.36942,23.24302,23.60845,23.60615,23.55775,23.39213,23.23864,23.57493,23.67244,23.25622,23.73118,115.2509,92.82005,136.153,13.17,113.1574,91.84476,133.9322,12.59745,117.4349,94.64716,140.5086,13.37352,9.809387,7.985786,11.48313,1.051783,9.627449,7.904902,11.29478,1.005053,9.930268,8.073807,11.82526,1.087222,62197.34,61783.8,61859.24,64465,64041.99,64095.1,0.6200957,0.03605373,5.802954,1.45467,0.09017157,6.187109
"2022-10-05 00:00:00",6,22.19492,25.69704,19.34742,82.90802,2.214252,1.273,0.856,3.775,"2022-10-04 16:55:00",4.980184,23.66712,23.49769,23.37838,23.73915,23.73746,23.68202,23.65126,23.39701,23.69987,23.79791,23.36798,23.54877,106.1339,93.66533,120.2497,7.175665,107.1244,93.74994,122.133,7.318696,108.5578,93.55096,132.1286,8.15907,9.017412,7.997124,10.1755,0.5910516,9.074543,7.972278,10.31305,0.5893754,9.214539,7.95209,11.17967,0.6760138,62357.77,61971.85,61986.46,64454.13,64023.34,64077.9,0.6750275,0.03822047,5.667553,1.502426,0.09748773,6.524427
"2022-10-06 00:00:00",7,23.56228,24.07635,22.49678,80.47369,2.337833,3.09,0.877,5.275,"2022-10-05 13:27:00",36.30198,24.096,23.91801,22.35962,24.14681,24.16446,24.11098,23.93075,22.39733,24.12996,24.22568,22.37211,23.96653,114.1078,93.18346,130.1436,8.45155,114.2977,93.78265,130.1271,8.927578,116.5292,93.9299,134.2831,9.787769,9.617217,7.956965,10.89823,0.674885,9.631078,8.000205,10.89787,0.7185225,9.812482,8.006701,11.23887,0.7918742,59077.72,58849.55,59005.01,60581.8,60300.82,60492.7,0.6331981,0.03398658,5.158165,1.414331,0.08427636,5.614005
