"TOA5","MarMenorIP","CR1000X","25703","CR1000X.Std.06.00","CPU:MarMenor6.CR1X","63214","OutputDiag"
"TIMESTAMP","RECORD","Anonymous1","PTemp_C_Avg","PTemp_C_Max","PTemp_C_Min","VBatt_Avg","VBatt_Max","VBatt_Min","IBatt_Avg","IBatt_Max","IBatt_Min","ILoad_Avg","ILoad_Max","ILoad_Min","V_in_chg_Avg","V_in_chg_Max","V_in_chg_Min","I_in_chg_Avg","I_in_chg_Max","I_in_chg_Min","ChargeTime","Anonymous2","Anonymous3","Anonymous4"
"TS","RN","","Deg C","Deg C","Deg C","volts","volts","volts","amps","amps","amps","amps","amps","amps","volts","volts","volts","amps","amps","amps","hr","","",""
"","","Smp","Avg","Max","Min","Avg","Max","Min","Avg","Max","Min","Avg","Max","Min","Avg","Max","Min","Avg","Max","Min","Smp","Smp","Smp","Smp"
"2022-09-29 00:00:00",0,"MarMenor6",28.86,33.16,24.15,12.7,13.51,12.33,-0.08547451,1.1889,-0.3833,0.2353954,0.3848,0.1911,9.74,21.59,0.931,0.1218412,1.047,0,4.792,1.047249,1.04065,1.043749
"2022-09-30 00:00:00",1,"MarMenor6",30.83,36.66,24.39,13.12,14.38,12.49,0.1082737,1.1843,-0.3796,0.23037,0.3811,0.0649,13.17,21.12,1.832,0.2754889,1.3494,0,9.63,1.047249,1.04065,1.043749
"2022-10-01 00:00:00",2,"MarMenor6",25.9,35.82,20.12,13.05,14.51,12.22,0.0189764,1.4289,-0.3908,0.2354016,0.3923,0.1922,10.7,22.01,1.874,0.2047375,1.5759,0,11.51,1.047249,1.04065,1.043749
"2022-10-02 00:00:00",3,"MarMenor6",26.04,36.73,18.4,13.07,14.53,12.23,0.02160159,1.3777,-0.3884,0.2322706,0.3906,0.1917,10.65,21.85,1.849,0.2072967,1.4976,0,11.52,1.047249,1.04065,1.043749
"2022-10-03 00:00:00",4,"MarMenor6",26.64,36.12,20.45,13.09,14.48,12.28,0.02009675,1.42,-0.3807,0.2235284,0.3823,0.1642,10.73,21.9,1.83,0.1977129,1.5696,0,11.43,1.047249,1.04065,1.043749
"2022-10-04 00:00:00",5,"MarMenor6",27.01,33.4,23.49,13.03,14.43,12.31,0.01339712,1.4555,-0.3732,0.2227056,0.3758,0.1825,9.97,21.44,1.203,0.1958963,1.4912,0,11.03,1.047249,1.04065,1.043749
"2022-10-05 00:00:00",6,"MarMenor6",26.08,31.28,22.16,13.01,14.5,12.32,0.01232732,1.1202,-0.374,0.2234998,0.3755,0.1922,9.64,20.92,1.871,0.203007,1.1467,0,11.28,1.047249,1.04065,1.043749
"2022-10-06 00:00:00",7,"MarMenor6",29.75,34.24,26.18,13.38,14.46,12.57,0.06209509,1.4977,-0.3825,0.227905,0.393,0.0031,11.44,21.34,1.893,0.2442282,1.5319,0,6.133,1.047249,1.04065,1.043749
"2022-10-07 00:00:00",8,"MarMenor6",24.51,27.28,22.61,12.7,13.76,12.28,-0.04149804,1.2512,-0.3846,0.2260259,0.3895,0.1863,9.02,20.23,1.637,0.1564388,1.3499,0,11.06,1.047249,1.04065,1.043749
"2022-10-08 00:00:00",9,"MarMenor6",27.4,37.12,21.41,13.15,14.42,12.18,0.06417397,1.501,-0.3914,0.2230574,0.3929,0.0468,10.35,21.56,1.828,0.2380493,1.6119,0,11.17,1.047249,1.04065,1.043749
"2022-10-09 00:00:00",10,"MarMenor6",27.69,34.47,23.36,13.13,14.42,12.32,0.01280258,1.6055,-0.3973,0.2414309,0.399,0.2008,10.35,22.05,1.839,0.209313,1.6843,0,11.14,1.047249,1.04065,1.043749
"2022-10-10 00:00:00",11,"MarMenor6",26.97,32.56,23.45,13.01,14.46,12.3,0.01201914,1.8323,-0.3953,0.2419803,0.3994,0.199,9.69,21.05,1.852,0.2156629,1.8078,0,11.09,1.047249,1.04065,1.043749
"2022-10-11 00:00:00",12,"MarMenor6",26.9,35.05,21.73,12.99,14.44,12.3,0.004173156,1.9795,-0.3905,0.2386545,0.3932,0.0521,9.67,22.02,1.72,0.2020636,1.9965,0,10.74,1.047249,1.04065,1.043749
"2022-10-12 00:00:00",13,"MarMenor6",25.66,34.73,20.26,13.06,14.44,12.26,0.0165261,1.7556,-0.3923,0.2400099,0.3939,0.2015,9.9,22.03,1.856,0.2157228,1.7474,0,11.03,1.047249,1.04065,1.043749
"2022-10-13 00:00:00",14,"MarMenor6",26.3,33.74,21.76,13.06,14.46,12.29,0.01297843,1.5894,-0.3923,0.239825,0.3938,0.0467,10.07,21.79,1.857,0.213074,1.6538,0,11.07,1.047249,1.04065,1.043749
"2022-10-14 00:00:00",15,"MarMenor6",26.43,33.41,21.41,13.1,14.46,12.3,0.009136356,1.4996,-0.3942,0.2413422,0.3972,0.2079,10.14,22.26,1.225,0.2056901,1.6761,0,11.04,1.047249,1.04065,1.043749
"2022-10-15 00:00:00",16,"MarMenor6",26.07,33.05,19.97,13.11,14.45,12.29,0.02320557,1.5715,-0.3909,0.2293983,0.3967,0.1657,10.04,21.67,0.05,0.2082978,1.7209,0,11.15,1.047249,1.04065,1.043749
"2022-10-16 00:00:00",17,"MarMenor6",26.2,32.54,21.21,13.17,14.52,12.36,0.006614823,1.4429,-0.385,0.2284503,0.3866,0.0523,9.86,21.82,0.048,0.189611,1.5796,0,11.02,1.047249,1.04065,1.043749
"2022-10-17 00:00:00",18,"MarMenor6",26.47,33.65,21.03,13.14,14.51,12.34,0.009212205,1.4207,-0.3827,0.2283393,0.3842,0.1962,9.56,21.98,0.046,0.1935872,1.5511,0,10.91,1.047249,1.04065,1.043749
"2022-10-18 00:00:00",19,"MarMenor6",27.23,30.67,24.34,13.08,14.5,12.35,0.007496423,1.6461,-0.3804,0.2287103,0.382,0.0467,9.24,21.83,0.044,0.194041,1.7643,0,10.75,1.047249,1.04065,1.043749
"2022-10-19 00:00:00",20,"MarMenor6",27.14,30.26,24.79,13.07,14.5,12.35,0.007242772,1.6372,-0.3834,0.2297046,0.3849,0.1983,9.02,22.14,0.043,0.1976455,1.6028,0,10.75,1.047249,1.04065,1.043749
"2022-10-19 00:00:00",20,"MarMenor6",27.14,30.26,24.79,13.07,14.5,12.35,0.007242772,1.6372,-0.3834,0.2297046,0.3849,0.1983,9.02,22.14,0.043,0.1976455,1.6028,0,10.75,1.047249,1.04065,1.043749
"2022-10-20 00:00:00",21,"MarMenor6",27.28,32.73,24.4,13.08,14.44,12.34,0.02052474,1.5294,-0.3832,0.213933,0.3847,0.1837,9.09,21.5,0.043,0.1938557,1.4696,0,10.8,1.047249,1.04065,1.043749
"2022-10-21 00:00:00",22,"MarMenor6",27.69,33.33,24.91,13.01,14.42,12.33,-0.005207448,1.5957,-0.4226,0.2509159,0.4241,0.0524,8.44,21.28,0.043,0.2083165,1.5784,0,10.55,1.047249,1.04065,1.043749
"2022-10-22 00:00:00",23,"MarMenor6",26.92,30.71,24.62,13.06,14.5,12.31,0.01243495,1.6261,-0.4028,0.2446394,0.4044,0.2114,8.88,21.67,0.043,0.2150514,1.6462,0,10.67,1.047249,1.04065,1.043749
"2022-10-23 00:00:00",24,"MarMenor6",26.71,31.49,24.33,13.05,14.5,12.31,0.01544487,1.5219,-0.3994,0.2385138,0.401,0.0463,8.8,21.48,0.043,0.21216,1.5225,0,10.63,1.047249,1.04065,1.043749
"2022-10-24 00:00:00",25,"MarMenor6",26.74,33.3,22.66,13.11,14.47,12.35,0.01152946,1.636,-0.3852,0.2305339,0.3867,0.2001,9.25,21.74,0.042,0.1993056,1.7632,0,10.69,1.047249,1.04065,1.043749
"2022-10-25 00:00:00",26,"MarMenor6",27.38,33.8,22.41,13.13,14.47,12.34,0.01134985,1.653,-0.384,0.229931,0.3856,0.1894,9.44,21.6,0.042,0.1960339,1.7791,0,10.7,1.047249,1.04065,1.043749
"2022-10-26 00:00:00",27,"MarMenor6",26.06,32,21.06,13.14,14.51,12.34,0.01015553,1.5919,-0.3845,0.2296158,0.386,0.0523,9.29,21.67,0.042,0.1959143,1.6813,0,10.63,1.047249,1.04065,1.043749
"2022-10-27 00:00:00",28,"MarMenor6",26.55,33.98,21.98,13.07,14.47,12.34,0.007073783,1.4438,-0.384,0.2303807,0.3855,0.1962,8.77,21.19,0.042,0.1957796,1.5849,0,10.52,1.047249,1.04065,1.043749
"2022-10-28 00:00:00",29,"MarMenor6",25.71,30.49,21.18,13.11,14.5,12.33,0.01144532,1.6706,-0.3849,0.2306402,0.3864,0.0465,9.22,22.03,0.042,0.1985732,1.7772,0,10.65,1.047249,1.04065,1.043749
